nearest_places_id,post_id,place_id
141,36,ChIJiw6Np4eipBIRx85T7fm-Dr0
142,36,ChIJm0a9ZICipBIR7ZTc9Z5nhRs
143,36,ChIJTSzGu4WipBIRkznre9Zwis0
144,36,ChIJ94t14n2ipBIRNa_yg2jxglU
145,37,ChIJTSzGu4WipBIRkznre9Zwis0
146,37,ChIJ7R4q5M-jpBIRmp-8bSW0s6A
147,37,ChIJa5R8WNOjpBIRCA4ZjLwkQQU
148,37,ChIJiw6Np4eipBIRx85T7fm-Dr0
149,38,ChIJdWd8mMSjpBIRlU7wI7x356s
150,38,ChIJD68YoJWipBIRWzQhzWcsALI
151,38,ChIJ1eGKmZOipBIRah43T2Kjn8Q
152,38,ChIJbf9sA-yipBIRBsaWQtiGMLs
153,39,ChIJ12d3ZlmYpBIRStDXELkkdJE
154,39,ChIJZSW6S-eYpBIRpJ1QG2znF9E
155,39,ChIJNbGKpPyipBIRWOE2AiC82hc
156,39,ChIJC6CEtf2ipBIRkFQaF95uL1Q
157,40,ChIJbf9sA-yipBIRBsaWQtiGMLs
158,40,ChIJmcQFU8mjpBIRlChkxov5sC0
159,40,ChIJdWd8mMSjpBIRlU7wI7x356s
160,40,ChIJM5FFbvKipBIRdWugDh577Ao
161,41,ChIJbf9sA-yipBIRBsaWQtiGMLs
162,41,ChIJdWd8mMSjpBIRlU7wI7x356s
163,41,ChIJmcQFU8mjpBIRlChkxov5sC0
164,41,ChIJ1eGKmZOipBIRah43T2Kjn8Q
165,42,ChIJsdwp5lyYpBIRhBBtKFR6HSM
166,42,ChIJ7SJqF16YpBIREBCq47mBUEE
167,42,ChIJ8Xo6PvSYpBIRL-dJTf5d_Ws
168,42,ChIJwfQMJkeYpBIRn50XzIQP7y8
169,43,ChIJ8Xo6PvSYpBIRL-dJTf5d_Ws
170,43,ChIJJ2JbaneipBIRpVQ6RTJSwLA
171,43,ChIJ7SJqF16YpBIREBCq47mBUEE
172,43,ChIJJVQ6VneipBIRIV6uqvMfBI0
173,44,ChIJBTfBbwCjpBIRK-jjm940utc
174,44,ChIJa-K8mf6ipBIRY8wAB3EeASc
175,44,ChIJveK7vP6ipBIRiegu-jsxGX8
176,44,ChIJc0WMe_GipBIRJiU_pUq_bRc
177,45,ChIJ12d3ZlmYpBIRStDXELkkdJE
178,45,ChIJBTfBbwCjpBIRK-jjm940utc
179,45,ChIJC6CEtf2ipBIRkFQaF95uL1Q
180,45,ChIJa-K8mf6ipBIRY8wAB3EeASc
181,46,ChIJa-K8mf6ipBIRY8wAB3EeASc
182,46,ChIJveK7vP6ipBIRiegu-jsxGX8
183,46,ChIJC6CEtf2ipBIRkFQaF95uL1Q
184,46,ChIJH1jdYvmipBIRlOn_x70XWx0
185,47,ChIJzdmhJBqYpBIR83dP63GAFSA
186,47,ChIJa5QNlxWYpBIRRN0BciLU32Q
187,47,ChIJX_qwTEeYpBIRLYdiL1aD41s
188,47,ChIJwfQMJkeYpBIRn50XzIQP7y8
189,48,ChIJ12d3ZlmYpBIRStDXELkkdJE
190,48,ChIJNbGKpPyipBIRWOE2AiC82hc
191,48,ChIJC6CEtf2ipBIRkFQaF95uL1Q
192,48,ChIJeYwrA_uipBIRtLLknGLSRQA
193,49,ChIJOyoByVCipBIR-mZapSxPHY8
194,49,ChIJBTfBbwCjpBIRK-jjm940utc
195,49,ChIJWXpb8PeipBIR9qHIBx1PV4U
196,49,ChIJc0WMe_GipBIRJiU_pUq_bRc
197,50,ChIJC6CEtf2ipBIRkFQaF95uL1Q
198,50,ChIJBTfBbwCjpBIRK-jjm940utc
199,50,ChIJNbGKpPyipBIRWOE2AiC82hc
